Product Name,Product Category,Stocks Required-2023-12-01,Stocks Required-2024-01-01,Stocks Required-2024-02-01,Stocks Required-2024-03-01,Stocks Required-2024-04-01,Stocks Required-2024-05-01,Stocks Required-2024-06-01,Stocks Required-2024-07-01,Stocks Required-2024-08-01,Stocks Required-2024-09-01,Stocks Required-2024-10-01,Stocks Required-2024-11-01,Stocks Required-2024-12-01,Stock Level Thresholds-Dec-2023,"Stock Level Thresholds-Jan-2024,",Stock Level Thresholds-Feb-2024,Stock Level Thresholds-Mar-2024,Stock Level Thresholds-Apr-2024,Stock Level Thresholds-May-2024,Stock Level Thresholds-Jun-2024,Stock Level Thresholds-Jul-2024,Stock Level Thresholds-Aug-2024,Stock Level Thresholds-Sep-2024,Stock Level Thresholds-Oct-2024,Stock Level Thresholds-Nov-2024,Stock Level Thresholds-Dec-2024,Seasonality-Dec-2023,"Seasonality-Jan-2024,",Seasonality-Feb-2024,Seasonality-Mar-2024,Seasonality-Apr-2024,Seasonality-May-2024,Seasonality-Jun-2024,Seasonality-Jul-2024,Seasonality-Aug-2024,Seasonality-Sep-2024,Seasonality-Oct-2024,Seasonality-Nov-2024,Seasonality-Dec-2024,Market Changes-Dec-2023,"Market Changes-Jan-2024,",Market Changes-Feb-2024,Market Changes-Mar-2024,Market Changes-Apr-2024,Market Changes-May-2024,Market Changes-Jun-2024,Market Changes-Jul-2024,Market Changes-Aug-2024,Market Changes-Sep-2024,Market Changes-Oct-2024,Market Changes-Nov-2024,Market Changes-Dec-2024,Product Type-Dec-2023,"Product Type-Jan-2024,",Product Type-Feb-2024,Product Type-Mar-2024,Product Type-Apr-2024,Product Type-May-2024,Product Type-Jun-2024,Product Type-Jul-2024,Product Type-Aug-2024,Product Type-Sep-2024,Product Type-Oct-2024,Product Type-Nov-2024,Product Type-Dec-2024,Lead time (in days)-Dec-2023,"Lead time (in days)-Jan-2024,",Lead time (in days)-Feb-2024,Lead time (in days)-Mar-2024,Lead time (in days)-Apr-2024,Lead time (in days)-May-2024,Lead time (in days)-Jun-2024,Lead time (in days)-Jul-2024,Lead time (in days)-Aug-2024,Lead time (in days)-Sep-2024,Lead time (in days)-Oct-2024,Lead time (in days)-Nov-2024,Lead time (in days)-Dec-2024,Supplier Reliabilty-Dec-2023,"Supplier Reliabilty-Jan-2024,",Supplier Reliabilty-Feb-2024,Supplier Reliabilty-Mar-2024,Supplier Reliabilty-Apr-2024,Supplier Reliabilty-May-2024,Supplier Reliabilty-Jun-2024,Supplier Reliabilty-Jul-2024,Supplier Reliabilty-Aug-2024,Supplier Reliabilty-Sep-2024,Supplier Reliabilty-Oct-2024,Supplier Reliabilty-Nov-2024,Supplier Reliabilty-Dec-2024,Stock Handing Efficiency-Dec-2023,"Stock Handing Efficiency-Jan-2024,",Stock Handing Efficiency-Feb-2024,Stock Handing Efficiency-Mar-2024,Stock Handing Efficiency-Apr-2024,Stock Handing Efficiency-May-2024,Stock Handing Efficiency-Jun-2024,Stock Handing Efficiency-Jul-2024,Stock Handing Efficiency-Aug-2024,Stock Handing Efficiency-Sep-2024,Stock Handing Efficiency-Oct-2024,Stock Handing Efficiency-Nov-2024,Stock Handing Efficiency-Dec-2024,Product Costs(In Rs.)-Dec-2023,"Product Costs(In Rs.)-Jan-2024,",Product Costs(In Rs.)-Feb-2024,Product Costs(In Rs.)-Mar-2024,Product Costs(In Rs.)-Apr-2024,Product Costs(In Rs.)-May-2024,Product Costs(In Rs.)-Jun-2024,Product Costs(In Rs.)-Jul-2024,Product Costs(In Rs.)-Aug-2024,Product Costs(In Rs.)-Sep-2024,Product Costs(In Rs.)-Oct-2024,Product Costs(In Rs.)-Nov-2024,Product Costs(In Rs.)-Dec-2024,Maximum discount offered (in percentage)-Dec-2023,"Maximum discount offered (in percentage)-Jan-2024,",Maximum discount offered (in percentage)-Feb-2024,Maximum discount offered (in percentage)-Mar-2024,Maximum discount offered (in percentage)-Apr-2024,Maximum discount offered (in percentage)-May-2024,Maximum discount offered (in percentage)-Jun-2024,Maximum discount offered (in percentage)-Jul-2024,Maximum discount offered (in percentage)-Aug-2024,Maximum discount offered (in percentage)-Sep-2024,Maximum discount offered (in percentage)-Oct-2024,Maximum discount offered (in percentage)-Nov-2024,Maximum discount offered (in percentage)-Dec-2024,Products Expiry (in months)-Dec-2023,"Products Expiry (in months)-Jan-2024,",Products Expiry (in months)-Feb-2024,Products Expiry (in months)-Mar-2024,Products Expiry (in months)-Apr-2024,Products Expiry (in months)-May-2024,Products Expiry (in months)-Jun-2024,Products Expiry (in months)-Jul-2024,Products Expiry (in months)-Aug-2024,Products Expiry (in months)-Sep-2024,Products Expiry (in months)-Oct-2024,Products Expiry (in months)-Nov-2024,Products Expiry (in months)-Dec-2024,Backorders-Dec-2023,"Backorders-Jan-2024,",Backorders-Feb-2024,Backorders-Mar-2024,Backorders-Apr-2024,Backorders-May-2024,Backorders-Jun-2024,Backorders-Jul-2024,Backorders-Aug-2024,Backorders-Sep-2024,Backorders-Oct-2024,Backorders-Nov-2024,Backorders-Dec-2024,Bulk orders (By customers)-Dec-2023,"Bulk orders (By customers)-Jan-2024,",Bulk orders (By customers)-Feb-2024,Bulk orders (By customers)-Mar-2024,Bulk orders (By customers)-Apr-2024,Bulk orders (By customers)-May-2024,Bulk orders (By customers)-Jun-2024,Bulk orders (By customers)-Jul-2024,Bulk orders (By customers)-Aug-2024,Bulk orders (By customers)-Sep-2024,Bulk orders (By customers)-Oct-2024,Bulk orders (By customers)-Nov-2024,Bulk orders (By customers)-Dec-2024,Profit gained (In Rs.)-Dec-2023,"Profit gained (In Rs.)-Jan-2024,",Profit gained (In Rs.)-Feb-2024,Profit gained (In Rs.)-Mar-2024,Profit gained (In Rs.)-Apr-2024,Profit gained (In Rs.)-May-2024,Profit gained (In Rs.)-Jun-2024,Profit gained (In Rs.)-Jul-2024,Profit gained (In Rs.)-Aug-2024,Profit gained (In Rs.)-Sep-2024,Profit gained (In Rs.)-Oct-2024,Profit gained (In Rs.)-Nov-2024,Profit gained (In Rs.)-Dec-2024
Puma Sports Shoes,Sport Equipments,469,413,231,144,92,122,467,288,113,151,80,305,61,214,105,68,56,26,51,124,78,45,60,29,86,19,best,best,good,good,average,average,best,good,average,good,average,good,average,Good,Good,Extreme,Extreme,Good,Minimal,Minimal,Average,Good,Good,Good,Average,Average,fast selling,slow selling,fast selling,slow selling,slow selling,slow selling,fast selling,fast selling,fast selling,slow selling,slow selling,fast selling,fast selling,4,5,8,6,6,5,4,5,4,6,8,8,6,average,average,good,good,best,average,good,average,average,best,good,good,best,excellent,excellent,excellent,average,average,average,excellent,excellent,poor,average,poor,average,excellent,2844,3950,698,530,3982,2084,1366,3758,3869,1830,4379,1497,1140,30,28,8,48,34,14,22,8,48,15,20,15,49,15,31,33,38,6,22,10,29,22,20,27,23,41,15,14,6,12,10,15,4,11,8,13,14,11,8,very often,very often,often,often,very often,rare,rare,very often,often,rare,often,rare,very often,9480.0,13166.0,2326.0,1766.0,13273.0,6946.0,4553.0,12526.0,12896.0,6100.0,14596.0,4990.0,3800.0
Kookaburra Ball,Sport Equipments,409,385,107,123,463,358,431,438,210,71,78,316,461,131,119,39,36,184,132,109,184,95,27,30,80,199,best,best,average,average,best,best,best,best,good,average,average,good,best,Extreme,Good,Good,Good,Average,Minimal,Average,Good,Good,Good,Minimal,Good,Extreme,fast selling,slow selling,fast selling,slow selling,fast selling,slow selling,slow selling,slow selling,fast selling,fast selling,slow selling,fast selling,fast selling,7,8,7,5,7,5,5,5,7,8,8,3,5,good,good,average,good,good,best,average,best,average,best,good,good,good,excellent,average,poor,poor,poor,excellent,excellent,excellent,excellent,poor,excellent,poor,average,2301,3151,4675,3427,3003,669,2350,2429,1338,1511,1358,4856,1481,30,33,6,44,8,14,43,11,16,18,9,26,13,19,21,12,14,20,45,16,28,37,20,9,48,18,39,25,50,89,84,94,56,29,40,48,23,5,73,rare,often,rare,often,rare,very often,very often,often,very often,rare,very often,often,rare,7670.0,10503.0,15583.0,11423.0,10010.0,2230.0,7833.0,8096.0,4460.0,5036.0,4526.0,16186.0,4936.0
Speedo Goggles,Sport Equipments,70,85,415,370,368,408,234,92,136,385,465,131,361,35,24,117,182,92,124,85,25,56,164,147,43,126,average,average,best,best,best,best,good,average,average,best,best,average,best,Extreme,Average,Average,Good,Extreme,Extreme,Good,Good,Average,Minimal,Minimal,Minimal,Extreme,slow selling,slow selling,fast selling,slow selling,slow selling,slow selling,fast selling,fast selling,slow selling,fast selling,slow selling,fast selling,fast selling,3,3,3,3,3,7,8,8,7,8,4,7,5,best,best,good,average,average,best,good,average,average,good,best,best,best,poor,excellent,average,poor,average,excellent,excellent,excellent,poor,poor,poor,poor,poor,1062,4330,1803,2679,3377,4391,2645,4427,3508,4703,3777,2333,2752,27,49,13,31,15,27,26,44,26,6,49,18,19,32,8,20,43,41,37,40,7,31,36,45,39,23,29,29,25,37,83,63,28,80,11,84,68,3,36,very often,very often,often,rare,very often,often,very often,very often,very often,rare,often,rare,rare,3540.0,14433.0,6010.0,8930.0,11256.0,14636.0,8816.0,14756.0,11693.0,15676.0,12590.0,7776.0,9173.0
Adidas Backpack,Sport Equipments,128,401,124,473,362,221,294,257,249,204,134,399,283,40,194,48,225,104,76,130,90,112,94,35,164,84,average,best,average,best,best,good,good,good,good,good,average,best,good,Average,Good,Good,Minimal,Good,Good,Extreme,Average,Minimal,Good,Average,Minimal,Minimal,slow selling,fast selling,fast selling,fast selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,fast selling,slow selling,5,6,5,7,5,7,8,4,4,5,3,4,5,best,good,good,average,best,average,best,average,average,average,best,average,average,poor,average,average,poor,average,average,average,poor,average,poor,average,excellent,excellent,1785,1123,2985,1641,1119,3479,572,4866,3906,4509,1803,1331,4267,34,48,38,32,18,11,13,19,32,5,24,42,8,11,32,8,17,39,43,34,23,26,12,35,48,41,2,57,45,6,70,13,47,66,43,43,52,63,63,often,rare,very often,often,rare,rare,often,very often,often,rare,often,often,rare,5950.0,3743.0,9950.0,5470.0,3730.0,11596.0,1906.0,16220.0,13020.0,15030.0,6010.0,4436.0,14223.0
Nivia Football,Sport Equipments,351,355,429,216,72,500,391,164,321,127,296,466,415,164,131,151,98,24,163,154,55,152,57,122,204,179,best,best,best,good,average,best,best,good,good,average,good,best,best,Good,Average,Average,Good,Minimal,Good,Minimal,Good,Good,Minimal,Extreme,Extreme,Minimal,fast selling,slow selling,slow selling,slow selling,slow selling,fast selling,slow selling,fast selling,slow selling,slow selling,slow selling,slow selling,slow selling,6,8,7,3,3,4,4,7,3,6,6,6,7,good,good,average,good,average,best,good,best,best,best,best,good,average,average,excellent,average,excellent,poor,excellent,average,poor,average,poor,average,excellent,excellent,3258,4256,2331,4111,4974,4993,1008,751,4194,2735,2705,2423,4373,19,42,25,41,30,6,40,9,37,45,46,46,36,43,43,18,12,7,32,13,7,32,20,43,33,32,30,74,103,45,55,100,10,97,58,33,18,77,78,very often,often,rare,rare,often,often,rare,rare,often,rare,often,rare,very often,10860.0,14186.0,7770.0,13703.0,16580.0,16643.0,3360.0,2503.0,13980.0,9116.0,9016.0,8076.0,14576.0
Yonex Badminton Racket,Sport Equipments,380,243,257,221,326,155,243,73,267,413,377,78,57,149,115,64,105,113,51,104,34,105,108,134,26,14,best,good,good,good,best,good,good,average,good,best,best,average,average,Average,Extreme,Average,Minimal,Minimal,Extreme,Minimal,Average,Average,Average,Average,Good,Minimal,fast selling,slow selling,slow selling,slow selling,slow selling,fast selling,slow selling,fast selling,fast selling,slow selling,slow selling,fast selling,slow selling,8,3,5,6,4,5,8,5,7,3,3,3,3,average,best,best,good,average,good,average,best,best,average,good,good,good,poor,poor,average,poor,excellent,poor,poor,average,excellent,excellent,poor,poor,average,818,2790,3674,2758,698,2328,1480,661,503,4604,2031,1954,3749,6,22,43,27,31,8,9,22,7,7,36,42,29,25,26,43,34,36,39,41,9,31,6,6,37,25,13,6,6,4,8,4,11,12,10,10,12,7,1,very often,often,very often,very often,often,often,very often,rare,very often,often,very often,very often,very often,2726.0,9300.0,12246.0,9193.0,2326.0,7760.0,4933.0,2203.0,1676.0,15346.0,6770.0,6513.0,12496.0
Stiga Table Tennis Bat,Sport Equipments,496,303,472,376,421,223,412,75,387,466,234,402,260,137,108,212,112,132,66,194,28,152,199,112,158,72,best,good,best,best,best,good,best,average,best,best,good,best,good,Minimal,Extreme,Good,Average,Extreme,Average,Average,Good,Minimal,Average,Average,Good,Good,fast selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,fast selling,fast selling,slow selling,slow selling,slow selling,slow selling,3,5,6,5,3,4,5,6,5,7,6,6,3,average,good,best,good,average,best,average,best,best,average,best,good,average,poor,excellent,poor,average,average,average,average,excellent,poor,average,average,poor,excellent,1775,2156,4392,4765,4188,592,2626,4773,4483,4062,2432,3424,964,16,7,26,11,13,44,30,24,45,50,24,18,23,13,13,35,33,18,12,18,33,47,42,44,15,22,17,50,2,52,36,28,52,60,22,30,42,42,35,often,often,often,often,very often,often,very often,very often,rare,rare,often,rare,often,5916.0,7186.0,14640.0,15883.0,13960.0,1973.0,8753.0,15910.0,14943.0,13540.0,8106.0,11413.0,3213.0
SG Cricket Bat,Sport Equipments,393,392,136,467,50,420,358,239,489,198,445,58,75,129,108,62,182,13,114,167,117,181,56,121,20,24,best,best,average,best,average,best,best,good,best,good,best,average,average,Extreme,Extreme,Extreme,Average,Average,Average,Average,Average,Extreme,Average,Good,Extreme,Good,fast selling,slow selling,fast selling,fast selling,fast selling,fast selling,slow selling,slow selling,fast selling,fast selling,fast selling,fast selling,slow selling,6,3,7,8,4,5,3,6,7,4,4,4,4,average,good,best,best,good,best,average,good,average,best,best,best,best,average,average,average,poor,excellent,poor,excellent,poor,average,average,average,poor,average,3966,2803,4520,4870,3724,2312,4935,2349,4537,546,1287,1607,1223,33,24,17,34,16,34,47,26,39,48,48,45,12,14,15,11,10,7,35,47,45,19,14,8,16,8,7,17,18,10,9,7,4,11,7,8,18,2,6,often,rare,often,very often,very often,very often,very often,often,very often,rare,very often,very often,often,13220.0,9343.0,15066.0,16233.0,12413.0,7706.0,16450.0,7830.0,15123.0,1820.0,4290.0,5356.0,4076.0
Cosco Volleyball,Sport Equipments,425,121,268,287,451,441,289,180,467,338,447,51,62,163,42,73,141,205,195,109,64,216,165,196,16,23,best,average,good,good,best,best,good,good,best,best,best,average,average,Extreme,Good,Average,Good,Minimal,Extreme,Average,Minimal,Extreme,Average,Minimal,Extreme,Good,fast selling,fast selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,fast selling,slow selling,slow selling,fast selling,slow selling,8,4,7,7,5,5,3,3,6,7,5,4,8,average,good,average,good,best,average,best,best,best,average,average,average,good,excellent,poor,poor,poor,average,excellent,average,poor,excellent,poor,excellent,average,poor,3479,3433,4952,4513,3930,4132,2819,1891,3798,2455,4350,4384,3521,6,13,26,32,6,43,22,18,7,18,17,10,50,15,24,43,19,44,40,44,24,22,7,26,17,25,6,12,7,7,3,1,4,11,14,3,8,11,13,rare,often,very often,rare,rare,rare,often,rare,very often,very often,very often,often,rare,11596.0,11443.0,16506.0,15043.0,13100.0,13773.0,9396.0,6303.0,12660.0,8183.0,14500.0,14613.0,11736.0
Spartan Helmet,Sport Equipments,143,377,234,452,111,429,253,87,425,472,483,194,172,66,112,89,201,55,110,124,37,161,140,213,70,69,average,best,good,best,average,best,good,average,best,best,best,good,good,Minimal,Minimal,Extreme,Extreme,Average,Minimal,Extreme,Extreme,Good,Good,Good,Average,Minimal,slow selling,fast selling,slow selling,fast selling,fast selling,fast selling,fast selling,slow selling,fast selling,slow selling,slow selling,fast selling,slow selling,6,4,6,6,5,5,8,8,5,7,4,6,5,good,average,best,average,good,best,good,good,average,good,good,good,good,average,poor,poor,excellent,excellent,poor,excellent,average,average,excellent,average,poor,poor,2915,562,3491,894,3051,4663,4380,2088,4781,3613,4682,3628,2825,15,6,12,35,34,19,46,27,9,13,10,17,33,41,48,28,33,45,10,31,14,40,16,15,29,37,27,35,35,19,10,13,31,34,23,42,18,35,1,rare,rare,very often,rare,rare,often,rare,very often,rare,rare,very often,rare,very often,9716.0,1873.0,11636.0,2980.0,10170.0,15543.0,14600.0,6960.0,15936.0,12043.0,15606.0,12093.0,9416.0
Puma Sports Shoes,Sport Equipments,156,263,461,331,169,325,445,122,249,255,441,108,51,43,104,156,141,48,114,151,42,65,86,196,27,22,good,good,best,best,good,best,best,average,good,good,best,average,average,Good,Minimal,Good,Average,Extreme,Good,Average,Minimal,Average,Good,Minimal,Extreme,Good,fast selling,slow selling,fast selling,slow selling,fast selling,fast selling,slow selling,fast selling,slow selling,slow selling,fast selling,fast selling,slow selling,7,3,5,4,7,3,3,3,3,5,3,3,8,best,average,good,average,good,good,average,good,best,average,average,best,good,average,average,excellent,poor,average,poor,poor,average,excellent,poor,excellent,excellent,excellent,2705,3823,2406,3712,2670,809,3918,3053,4980,1193,4673,3098,1380,39,16,44,19,48,35,13,5,32,41,28,49,28,13,8,26,8,9,12,12,31,34,48,6,14,34,5,4,2,2,12,9,8,1,6,6,10,12,6,very often,very often,rare,rare,rare,often,very often,rare,very often,very often,very often,very often,rare,9016.0,12743.0,8020.0,12373.0,8900.0,2696.0,13060.0,10176.0,16600.0,3976.0,15576.0,10326.0,4600.0
Kookaburra Ball,Sport Equipments,406,163,216,325,73,324,488,394,263,418,457,314,239,170,62,66,151,30,103,230,174,92,204,208,97,59,best,good,good,good,average,good,best,best,good,best,best,good,good,Minimal,Good,Minimal,Minimal,Average,Good,Extreme,Average,Average,Extreme,Extreme,Average,Average,fast selling,fast selling,slow selling,slow selling,fast selling,fast selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,8,8,6,8,4,6,4,8,7,3,5,6,5,best,good,best,average,good,good,good,best,good,average,good,good,average,average,average,average,average,average,poor,poor,excellent,excellent,poor,poor,average,average,1353,2560,3460,3589,1936,2221,2623,4972,673,2578,593,2112,2774,6,10,41,15,29,26,28,17,6,23,21,6,23,47,27,15,12,23,43,39,6,34,48,47,31,18,46,57,51,36,18,45,1,7,34,56,20,14,8,very often,very often,rare,very often,often,often,rare,often,often,very often,very often,very often,rare,4510.0,8533.0,11533.0,11963.0,6453.0,7403.0,8743.0,16573.0,2243.0,8593.0,1976.0,7040.0,9246.0
Speedo Goggles,Sport Equipments,424,456,56,210,250,98,432,255,97,334,156,378,101,134,188,27,94,112,43,142,102,44,156,54,188,38,best,best,average,good,good,average,best,good,average,best,good,best,average,Good,Extreme,Minimal,Minimal,Minimal,Minimal,Average,Average,Extreme,Minimal,Minimal,Extreme,Good,fast selling,slow selling,fast selling,fast selling,slow selling,fast selling,fast selling,fast selling,fast selling,fast selling,fast selling,fast selling,fast selling,3,3,8,3,3,8,5,6,4,4,7,5,7,good,best,best,average,average,good,average,best,best,best,best,average,best,average,excellent,poor,poor,poor,poor,excellent,excellent,average,poor,average,excellent,poor,4012,634,1612,4464,4980,4818,3407,662,1246,4528,1366,3871,1026,29,43,20,47,22,36,20,23,36,28,6,15,40,10,28,23,9,14,41,41,20,7,47,44,46,27,4,14,16,2,13,14,5,21,14,12,4,1,5,often,rare,often,very often,very often,very often,very often,rare,rare,rare,rare,often,often,13373.0,2113.0,5373.0,14880.0,16600.0,16060.0,11356.0,2206.0,4153.0,15093.0,4553.0,12903.0,3420.0
Adidas Backpack,Sport Equipments,347,146,464,396,265,458,268,256,217,477,371,273,262,156,64,213,130,117,228,134,92,98,238,184,133,118,best,good,best,best,good,best,good,good,good,best,best,good,good,Minimal,Extreme,Average,Good,Average,Extreme,Good,Good,Minimal,Good,Good,Minimal,Average,fast selling,slow selling,fast selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,4,4,4,6,5,6,4,5,4,5,3,8,7,average,best,average,average,best,best,average,average,good,good,good,best,good,average,excellent,average,excellent,poor,excellent,excellent,poor,poor,poor,poor,poor,average,2870,4672,654,4209,2142,4708,3634,570,3501,1084,2556,747,2576,33,32,30,32,31,31,45,47,50,50,47,17,50,31,18,33,7,38,40,40,12,9,23,38,33,45,62,58,10,27,54,5,10,56,3,65,22,20,34,rare,very often,very often,rare,rare,very often,often,very often,often,often,rare,very often,often,9566.0,15573.0,2180.0,14030.0,7140.0,15693.0,12113.0,1900.0,11670.0,3613.0,8520.0,2490.0,8586.0
Nivia Football,Sport Equipments,488,196,392,299,130,194,150,241,67,308,188,492,351,156,96,158,74,59,50,61,116,19,100,80,149,150,best,good,best,good,average,good,good,good,average,good,good,best,best,Minimal,Average,Good,Minimal,Minimal,Good,Extreme,Good,Average,Average,Minimal,Average,Minimal,fast selling,fast selling,fast selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,fast selling,slow selling,fast selling,slow selling,6,4,4,5,6,3,7,5,5,8,4,8,4,average,average,best,average,average,average,good,good,average,best,best,best,average,average,excellent,average,average,poor,excellent,poor,average,average,excellent,average,excellent,average,4700,2134,4466,649,4801,1685,895,2599,1437,2429,4328,4332,1713,23,26,23,13,19,29,33,48,6,33,38,35,11,29,8,16,12,39,6,35,42,48,7,36,26,6,6,46,15,47,33,47,4,38,54,6,44,9,85,rare,often,rare,rare,often,rare,very often,rare,very often,rare,rare,rare,often,15666.0,7113.0,14886.0,2163.0,16003.0,5616.0,2983.0,8663.0,4790.0,8096.0,14426.0,14440.0,5710.0
Yonex Badminton Racket,Sport Equipments,299,390,233,313,378,335,109,257,144,107,492,442,169,113,139,69,137,184,116,40,117,62,50,220,134,42,good,best,good,good,best,good,average,good,average,average,best,best,good,Good,Good,Extreme,Average,Minimal,Good,Minimal,Minimal,Good,Minimal,Average,Minimal,Good,fast selling,slow selling,slow selling,slow selling,slow selling,slow selling,fast selling,slow selling,slow selling,slow selling,fast selling,slow selling,fast selling,7,6,5,6,7,4,3,3,3,7,4,5,4,good,best,best,good,average,good,good,best,good,best,best,best,best,poor,excellent,excellent,poor,poor,average,excellent,excellent,poor,poor,excellent,average,poor,2485,4526,2730,2546,2396,946,4027,3597,3499,3362,1691,904,4470,8,30,20,11,50,40,38,48,17,50,45,29,22,28,27,9,24,39,39,30,31,26,41,15,38,27,11,21,18,18,9,7,41,42,30,24,24,1,33,often,often,rare,very often,often,often,often,often,often,often,often,rare,very often,8283.0,15086.0,9100.0,8486.0,7986.0,3153.0,13423.0,11990.0,11663.0,11206.0,5636.0,3013.0,14900.0
Stiga Table Tennis Bat,Sport Equipments,420,219,458,294,423,186,353,224,298,379,71,415,338,145,66,141,120,191,73,117,84,100,112,35,105,141,best,good,best,good,best,good,best,good,good,best,average,best,best,Good,Minimal,Good,Good,Extreme,Good,Average,Good,Extreme,Average,Good,Good,Good,fast selling,slow selling,fast selling,slow selling,slow selling,fast selling,slow selling,slow selling,slow selling,slow selling,fast selling,fast selling,slow selling,3,6,3,7,6,6,3,7,6,7,4,8,6,best,average,good,average,good,good,average,best,good,average,average,good,best,poor,poor,poor,average,excellent,poor,poor,poor,excellent,average,excellent,excellent,average,2702,757,3976,2001,2847,3319,1611,2817,2190,3754,1996,1657,4292,9,28,13,50,14,14,28,47,25,32,16,24,6,31,46,11,12,8,11,30,38,32,25,6,46,12,80,64,65,29,6,44,30,36,42,10,62,53,83,often,very often,rare,rare,rare,rare,often,often,very often,often,very often,often,rare,9006.0,2523.0,13253.0,6670.0,9490.0,11063.0,5370.0,9390.0,7300.0,12513.0,6653.0,5523.0,14306.0
SG Cricket Bat,Sport Equipments,190,276,479,413,63,71,466,362,159,207,395,54,86,77,84,139,139,22,33,155,135,71,86,185,26,39,good,good,best,best,average,average,best,best,good,good,best,average,average,Extreme,Good,Minimal,Minimal,Average,Minimal,Good,Extreme,Average,Extreme,Extreme,Extreme,Average,fast selling,fast selling,fast selling,slow selling,fast selling,slow selling,fast selling,fast selling,fast selling,slow selling,fast selling,fast selling,slow selling,3,8,6,8,7,3,4,3,6,8,8,3,3,best,average,good,good,average,average,good,average,good,good,good,average,good,average,average,excellent,average,poor,poor,poor,poor,excellent,poor,poor,excellent,poor,3885,3431,1441,4841,3829,3963,1475,3546,3196,4294,2304,1123,3758,11,34,30,23,35,39,44,46,9,18,6,37,23,41,14,15,6,32,32,17,46,22,17,18,8,18,12,19,10,6,2,20,2,19,1,1,7,18,15,very often,rare,very often,often,rare,often,very often,rare,often,rare,rare,very often,very often,12950.0,11436.0,4803.0,16136.0,12763.0,13210.0,4916.0,11820.0,10653.0,14313.0,7680.0,3743.0,12526.0
Cosco Volleyball,Sport Equipments,93,244,348,107,84,268,346,384,234,292,374,415,389,43,98,159,43,28,71,127,188,86,90,118,158,152,average,good,best,average,average,good,best,best,good,best,best,best,best,Extreme,Good,Extreme,Extreme,Extreme,Minimal,Extreme,Minimal,Good,Average,Extreme,Average,Minimal,slow selling,slow selling,slow selling,fast selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,8,4,6,6,5,4,3,3,5,6,6,3,8,good,good,good,average,best,good,best,best,best,good,good,best,good,average,excellent,average,excellent,excellent,excellent,poor,average,poor,poor,poor,average,poor,1107,3811,2261,2923,3393,4780,4669,4672,945,749,4687,3049,1989,46,42,33,18,19,41,47,20,10,43,36,39,17,41,22,43,11,38,35,48,38,19,44,15,20,28,41,23,60,58,53,13,65,44,69,52,58,19,38,often,often,rare,rare,often,very often,rare,rare,very often,very often,rare,very often,rare,3690.0,12703.0,7536.0,9743.0,11310.0,15933.0,15563.0,15573.0,3150.0,2496.0,15623.0,10163.0,6630.0
Spartan Helmet,Sport Equipments,128,251,363,313,106,389,70,359,497,277,129,202,209,46,98,161,116,39,115,24,179,200,70,34,72,104,average,good,best,good,average,best,average,best,best,good,average,good,good,Extreme,Extreme,Good,Minimal,Minimal,Extreme,Extreme,Extreme,Good,Extreme,Average,Extreme,Extreme,slow selling,slow selling,slow selling,slow selling,fast selling,fast selling,fast selling,fast selling,fast selling,fast selling,fast selling,slow selling,slow selling,6,8,8,3,3,4,6,4,4,5,5,7,6,good,average,good,good,good,good,good,best,best,good,best,good,best,excellent,excellent,poor,average,poor,average,poor,excellent,poor,excellent,average,average,excellent,814,4878,3158,2252,4044,1192,2718,4957,4380,2920,4493,1637,3312,19,35,41,37,50,12,45,14,23,13,28,41,46,45,23,18,47,41,31,37,45,33,38,43,34,8,20,24,43,50,14,10,30,48,28,26,41,29,21,rare,very often,very often,rare,very often,rare,often,rare,often,often,often,often,often,2713.0,16260.0,10526.0,7506.0,13480.0,3973.0,9060.0,16523.0,14600.0,9733.0,14976.0,5456.0,11040.0
Puma Sports Shoes,Sport Equipments,95,82,172,343,391,146,453,376,174,373,271,273,446,46,35,68,164,188,38,218,129,48,99,100,103,138,average,average,good,best,best,good,best,best,good,best,good,good,best,Minimal,Good,Good,Extreme,Average,Extreme,Extreme,Good,Average,Minimal,Minimal,Average,Extreme,slow selling,slow selling,slow selling,slow selling,slow selling,fast selling,fast selling,slow selling,fast selling,fast selling,slow selling,slow selling,fast selling,4,3,7,3,3,6,7,8,6,7,5,8,3,good,best,average,best,average,average,good,best,best,good,best,best,best,average,excellent,excellent,average,poor,poor,excellent,excellent,average,poor,excellent,poor,excellent,2074,1826,1706,1325,648,2351,4410,828,1566,2929,504,3857,972,27,19,27,27,46,15,33,41,13,41,25,43,9,10,19,28,42,40,8,23,11,47,39,19,35,18,33,46,3,9,82,81,82,106,30,72,51,37,109,often,often,often,often,often,often,often,rare,very often,very often,very often,often,very often,6913.0,6086.0,5686.0,4416.0,2160.0,7836.0,14700.0,2760.0,5220.0,9763.0,1680.0,12856.0,3240.0
